level,artist,album,year,sources,spotifyName,spotifyArtists,albumType,releaseDate,label,flags,spotifyUrl
"A","大象體操 Elephant Gym","夢境","2022","seed","《大象體操：比夢境更真實》 紀錄片原聲帶","Elephant Gym","","","","長名包短名 +16字 ×9.00","https://open.spotify.com/album/1mMhbLjuTZpCdQMnYMnfMK"
"A","李宗盛","生命中的精靈","1986","seed","李宗盛作品精選1生命中的精靈","李宗盛","","","","長名包短名 +8字 ×2.33","https://open.spotify.com/album/5pHAKb55ltL9mfPe2CWGLm"
"A","康士坦的變化球 Constant & Change","更迭","2020","seed","更迭","KST","","","","藝人不符：KST","https://open.spotify.com/album/1ErSP0hX5hokAbaQ1wFa4d"
"A","陳建年","海洋","1999","seed","海洋音樂創作專輯","陳建年","","","","長名包短名 +6字 ×4.00","https://open.spotify.com/album/3lgDIJPRUSsSgim5cBZ5mE"
"A","董事長樂團 The Chairman","眾神護台灣","","seed","眾神護台灣 (黑膠版)","董事長樂團","","","","長名包短名 +3字 ×1.60","https://open.spotify.com/album/5GyTWMrYAWMBpfKppY6a5d"
"A","蘇打綠 sodagreen","冬 未了","2015","seed","冬 未了（蘇打綠版）","sodagreen","","","","長名包短名 +4字 ×2.33","https://open.spotify.com/album/2TgZn5S6cE7cB8Qd8uvC9X"
"A","Anthony Braxton","In the Tradition","1974","seed","In The Tradition Vol. 1","Anthony Braxton","","","","長名包短名 +4字 ×1.29；續作編號不同（多出「vol1」）","https://open.spotify.com/album/5wkIvMT9O68xIsYqwJvhzy"
"A","Art Pepper","Art Pepper + Eleven","1959","seed","Art Pepper + Eleven: Modern Jazz Classics","Art Pepper","","","","長名包短名 +18字 ×2.20","https://open.spotify.com/album/3eFjOkJT3CopSAGmfFIqaJ"
"A","Ash Ra Tempel","Ash Ra Tempel","1971","seed","Ash Ra Tempel (Mixed Tracks)","Ash Ra Tempel, Manuel Göttsching","album","1971-07-01","","長名包短名 +11字 ×2.00","https://open.spotify.com/album/5Z7xUQSGqT92mworLybrZ7"
"A","Average White Band","AWB","1974","seed","AWB R&B","Average White Band","","","","長名包短名 +5字 ×2.67","https://open.spotify.com/album/3HXGcbMeRNh6kEkwlWXIWl"
"A","Beyond","秘密警察","1988","seed","秘密警察 (正東 10 x 10 我至愛唱片)","Beyond","","","","長名包短名 +12字 ×4.00","https://open.spotify.com/album/5QAp4CYgP8qIGvJRsh0Pp6"
